Pclass,Sex,SibSp,Parch,Cabin,Embarked,FamilySizeRange,Title,Single,FareRange,AgeRange,FareAndAge
3,1,0,0,0,0,0,2,0,0,1,169.05
3,1,0,0,0,0,0,2,0,0,1,181.9125
3,0,0,0,0,0,0,1,0,0,1,237.5
3,0,0,0,0,0,0,1,0,3,1,1186.4118
3,0,0,1,0,1,0,1,0,1,3,523.2513
1,0,0,0,1,0,0,1,0,2,1,557.5500000000001
3,0,0,0,0,0,0,1,0,0,3,321.84999999999997
2,1,0,0,0,0,0,3,0,1,2,390.0
1,1,1,0,1,0,0,3,0,3,3,2364.939
3,0,0,0,0,0,0,1,0,0,1,198.125
1,0,0,0,1,1,0,1,0,2,3,1336.5
3,0,0,0,0,2,0,1,0,0,1,162.75
1,1,0,0,1,1,0,3,0,3,3,4577.502
3,1,0,2,0,0,1,3,1,2,3,572.4
1,0,1,0,1,0,0,1,0,3,1,1440.0
2,0,0,0,0,1,0,1,0,2,2,405.89910000000003
2,1,2,1,0,0,1,2,1,2,1,460.0
1,1,3,2,1,0,2,2,0,4,2,7364.0
2,0,0,0,0,1,0,1,0,2,1,327.1632
3,0,4,1,0,2,2,4,0,2,0,291.25
3,0,0,0,0,0,0,1,0,0,2,276.353
3,0,0,0,1,0,0,1,0,0,1,191.25
3,0,1,0,0,0,0,1,0,2,1,338.1
1,1,0,0,1,1,0,2,0,4,3,9445.5
3,0,0,0,0,0,0,1,0,0,0,134.2286
2,0,0,0,0,0,0,1,0,1,2,432.0
3,0,0,0,0,0,0,1,0,0,0,139.5
3,1,0,0,0,2,0,2,0,0,1,169.95
1,0,2,2,1,1,1,4,1,4,0,3410.875
2,1,0,0,0,0,0,3,0,2,1,441.0
3,1,0,0,0,2,0,2,0,0,0,141.8256
1,0,0,0,0,0,0,1,0,3,3,1992.8
1,0,0,0,1,1,0,1,0,2,2,884.6625
1,1,1,4,1,0,2,3,0,4,3,15780.0
3,1,0,0,0,2,0,2,0,0,1,186.0
3,0,0,0,0,0,0,1,0,0,1,165.8118
3,1,0,0,0,0,0,2,0,0,2,229.825
1,0,0,0,1,1,0,1,0,2,2,790.0428
1,1,0,0,1,1,0,2,0,4,2,7402.5
1,0,0,0,1,1,0,1,0,4,2,6873.75
3,0,0,0,0,0,0,1,0,0,1,169.05
1,1,2,0,1,0,1,3,1,2,3,1413.5
2,0,0,0,0,0,0,1,0,1,2,390.0
3,1,0,0,0,2,0,2,0,0,1,186.0
3,0,1,1,0,1,1,4,1,2,0,91.47479999999999
1,0,1,0,1,0,0,1,0,4,4,14859.206400000001
1,0,0,0,0,0,0,1,0,2,3,1274.0
3,0,0,0,0,0,0,1,0,0,1,165.8118
2,0,0,0,0,2,0,1,0,1,1,224.87429999999998
3,0,1,0,0,1,0,1,0,1,1,303.5382
3,1,0,0,0,2,0,2,0,0,2,212.7384
3,1,0,0,0,0,0,2,0,0,0,144.9
3,1,0,0,0,2,0,2,0,0,1,162.75
2,0,1,1,0,0,1,4,1,2,0,46.0
3,1,1,0,0,0,0,3,0,1,1,305.8
3,0,0,0,0,0,0,1,0,0,1,163.275
1,1,1,2,1,0,1,3,1,3,2,1404.0
3,0,0,0,0,0,0,1,0,0,1,169.05
1,0,0,0,0,1,0,1,0,2,1,650.0
3,0,0,0,0,0,0,1,0,0,1,194.89499999999998
1,1,1,0,1,0,0,3,0,3,4,5992.599999999999
3,0,0,0,0,0,0,1,0,0,2,229.825
3,1,0,0,0,0,0,2,0,0,1,157.084
3,0,0,0,0,0,0,1,0,0,2,265.65000000000003
1,1,1,0,1,1,0,3,0,3,3,2383.9930999999997
2,0,1,0,0,0,0,1,0,2,2,702.0
3,0,0,0,0,2,0,1,0,0,1,162.75
3,0,0,0,0,0,0,1,0,0,2,202.15
3,1,1,1,0,1,1,3,1,0,0,136.2672
3,0,0,0,0,0,0,1,0,2,2,630.6999999999999
3,0,0,0,0,2,0,1,0,0,1,164.23680000000002
3,0,0,0,0,2,0,1,0,0,1,162.75
3,0,0,0,0,0,0,1,0,0,1,182.9625
2,0,0,0,1,0,0,1,0,1,1,240.5
2,0,0,0,0,1,0,1,0,2,3,616.8778
3,1,0,0,0,2,0,2,0,0,1,163.3632
1,1,0,0,1,1,0,2,0,3,3,1140.4512
3,1,0,0,0,2,0,2,0,0,1,134.74105
1,1,1,0,1,0,0,3,0,4,4,13972.0896
3,0,1,0,0,1,0,1,0,1,0,260.17560000000003
3,0,0,0,0,1,0,1,0,0,1,135.1875
3,1,1,1,1,0,1,2,1,2,0,16.7
1,0,0,0,1,1,0,1,0,3,3,2708.7012
2,1,1,0,0,0,0,3,0,2,2,754.0
2,1,0,0,0,0,0,2,0,2,0,189.0
3,0,1,0,0,2,0,1,0,0,1,162.75
1,1,1,0,1,1,0,3,0,3,2,2021.25
3,0,0,0,0,0,0,1,0,0,2,203.0
3,0,0,0,0,2,0,1,0,0,1,162.75
3,1,0,1,0,0,0,2,0,2,0,273.70000000000005
3,0,0,0,0,0,0,1,0,0,1,171.5076
3,1,2,0,0,2,1,2,1,2,1,488.25
2,0,0,0,0,0,0,1,0,1,3,546.0
3,0,0,0,0,0,0,1,0,0,1,193.20000000000002
3,0,0,0,0,0,0,1,0,0,2,257.6
1,0,0,0,1,1,0,5,0,2,3,1510.5
3,1,0,4,0,0,1,3,1,2,1,534.8007
3,0,1,0,0,1,0,1,0,0,1,135.1875
3,0,0,0,0,0,0,1,0,0,3,339.5194
3,0,0,0,0,0,0,1,0,0,1,188.5008
3,0,0,0,0,1,0,1,0,0,2,191.46249999999998
2,0,0,0,0,0,0,1,0,1,2,338.0
3,1,0,0,0,0,0,2,0,0,1,185.15
3,0,1,6,0,0,2,1,0,3,3,1876.0
3,1,5,2,0,0,2,2,0,3,0,469.0
1,1,0,0,0,0,0,2,0,4,2,5001.150000000001
1,0,1,3,1,1,1,1,1,4,4,16004.875
2,0,0,0,0,0,0,1,0,2,2,728.0
1,0,0,0,0,0,0,1,0,2,3,1115.1000000000001
3,0,3,0,0,0,1,1,1,2,2,558.0
1,0,0,0,1,0,0,1,0,3,1,1089.1125
3,0,0,0,0,0,0,1,0,0,1,177.10000000000002
1,0,0,0,0,0,0,1,0,2,1,557.5500000000001
2,0,1,1,0,0,1,5,1,2,2,780.0
1,1,0,1,1,1,0,3,0,3,1,1912.6408999999999
3,0,0,0,0,1,0,1,0,0,1,165.8118
3,0,0,0,0,0,0,1,0,0,4,468.875
3,1,0,2,0,0,1,3,1,1,3,438.5988
3,0,4,2,0,0,2,4,0,3,0,408.03749999999997
3,0,0,0,0,0,0,1,0,0,1,181.2
1,1,0,0,1,0,0,2,0,4,2,6431.5968
3,1,0,0,0,0,0,2,0,0,1,180.64659999999998
1,0,0,0,1,0,0,1,0,2,3,1115.1000000000001
3,1,0,2,0,0,1,3,1,1,2,358.15000000000003
3,1,0,0,0,2,0,2,0,0,1,162.39929999999998
3,0,1,1,0,1,1,4,1,2,0,106.72059999999999
2,1,0,0,0,0,0,2,0,1,2,351.0
3,0,0,0,0,0,0,1,0,0,1,147.0
2,0,0,0,0,0,0,5,0,1,3,533.0
3,1,1,1,0,0,1,3,1,2,2,572.65
1,0,0,0,1,1,0,1,0,3,3,2423.7984
3,0,2,2,0,0,1,1,1,3,0,618.75
1,1,0,0,0,1,0,3,0,2,1,582.1368
3,1,0,0,0,0,0,2,0,0,1,197.175
3,0,0,0,0,0,0,1,0,0,1,158.54999999999998
3,0,0,0,0,1,0,1,0,0,2,195.075
3,0,1,0,0,0,0,1,0,1,1,319.7
3,0,0,0,0,1,0,1,0,0,1,151.8132
3,0,1,5,0,0,2,1,0,3,3,1255.5
2,1,0,2,0,0,1,2,1,3,0,585.0
2,1,0,0,0,0,0,2,0,3,1,735.0
1,0,1,0,1,1,0,1,0,3,3,2993.8518
2,1,0,3,1,0,1,3,1,3,3,1404.0
1,1,0,2,1,1,1,3,1,3,4,5322.1312
2,0,0,0,0,0,0,1,0,1,2,390.0
1,0,1,1,1,1,1,1,1,3,3,3076.8570999999997
1,1,1,0,1,0,0,3,0,3,0,955.8000000000001
3,0,0,0,0,2,0,1,0,0,1,162.75
1,1,1,1,1,1,1,3,1,4,2,6683.0616
2,0,0,0,0,0,0,1,0,2,3,640.0
2,1,0,1,0,0,0,2,0,2,1,441.0
3,0,2,0,0,0,1,1,1,0,0,136.85000000000002
3,1,8,2,0,0,2,2,0,3,1,1460.55
2,0,0,0,0,0,0,1,0,1,3,520.0
2,0,1,0,0,0,0,1,0,2,2,884.0
1,0,0,0,0,0,0,1,0,2,1,546.0
3,0,1,1,0,0,1,4,1,1,0,166.75
2,0,0,0,0,2,0,1,0,1,4,753.35
2,0,0,2,0,0,1,4,1,3,0,260.0
3,0,0,0,0,0,0,1,0,0,2,259.1886
1,0,0,2,1,1,1,4,1,4,0,807.0
3,1,0,0,0,0,0,2,0,0,0,139.95000000000002
2,0,0,0,0,0,0,1,0,1,1,241.5
3,1,0,0,0,0,0,3,0,0,1,170.3625
3,1,0,0,0,2,0,2,0,2,1,325.5
3,0,0,2,0,0,1,4,1,1,0,4.752000000000001
1,0,1,0,1,1,0,5,0,4,3,10693.675000000001
2,1,1,1,0,0,1,2,1,2,0,208.0
2,0,0,0,0,0,0,1,0,1,1,262.5
1,0,0,0,0,1,0,1,0,2,1,540.5757
3,1,0,0,0,2,0,2,0,0,2,271.25
2,0,0,0,0,0,0,1,0,1,1,252.0
1,1,0,0,1,1,0,2,0,2,2,914.7864000000001
3,0,0,0,0,0,0,1,0,0,1,197.395
3,0,0,0,0,0,0,1,0,2,2,720.8
3,0,0,0,0,0,0,1,0,0,1,148.04999999999998
2,0,0,0,0,0,0,1,0,3,0,1249.5
2,1,1,0,0,0,0,3,0,2,3,1560.0
3,1,4,2,0,0,2,2,0,0,3,295.45
1,0,0,0,1,0,0,1,0,3,3,1785.0
3,1,0,0,0,2,0,2,0,0,1,165.4632
1,0,1,1,0,0,1,1,1,4,3,9397.4019
1,1,1,1,1,1,1,3,1,4,3,10575.0
3,0,0,0,0,0,0,1,0,0,1,169.05
2,1,1,0,0,1,0,2,0,1,2,415.749
3,0,0,0,0,0,0,1,0,0,1,169.05
2,1,0,0,1,0,0,3,0,1,1,231.0
3,0,0,0,0,0,0,1,0,0,1,163.71179999999998
1,1,0,0,0,1,0,3,0,2,3,1454.6273999999999
3,1,0,2,0,1,1,3,1,2,1,320.16179999999997
3,0,0,0,0,0,0,1,0,0,1,179.3034
3,1,0,0,0,2,0,2,0,0,1,162.75
3,0,0,0,0,0,0,1,0,2,3,611.55
2,0,0,0,0,0,0,1,0,1,3,468.0
2,0,0,0,0,0,0,1,0,3,0,910.0
1,1,0,0,0,0,0,2,0,2,1,557.5500000000001
3,0,1,0,0,0,0,1,0,0,1,136.4118
3,0,0,0,0,2,0,1,0,0,1,165.4632
1,0,1,0,1,1,0,1,0,3,3,2780.0487
3,0,0,0,0,0,0,1,0,0,1,157.084
1,0,1,0,1,1,0,1,0,3,4,4816.0
3,0,0,0,0,1,0,1,0,0,1,144.5
2,1,1,1,0,0,1,2,1,1,0,234.0
1,1,1,0,1,1,0,3,0,3,3,5108.4
1,1,0,0,0,1,0,3,0,2,3,1524.644
2,1,0,2,0,0,1,3,1,2,3,1350.0
1,0,1,1,1,1,1,1,1,4,3,6052.5
3,0,0,0,0,0,0,1,0,0,1,165.63750000000002
3,0,1,2,0,0,1,4,1,2,1,492.45
1,0,1,0,1,0,0,1,0,3,3,2126.3624999999997
2,1,0,0,0,0,0,3,0,2,1,462.0
2,0,1,1,0,0,1,1,1,3,3,1365.0
2,1,1,0,0,0,0,3,0,2,2,754.0
3,1,1,0,0,1,0,3,0,1,1,303.5382
2,1,1,2,0,0,1,2,1,2,0,25.53
3,0,0,0,0,0,0,1,0,0,1,158.5
1,0,1,0,1,1,0,1,0,4,2,3693.0384
3,0,0,0,0,0,0,1,0,0,1,223.79999999999998
3,0,0,0,0,0,0,1,0,0,2,308.75
3,0,0,0,0,0,0,1,0,0,1,158.54999999999998
3,0,0,0,0,2,0,1,0,0,1,162.75
3,0,0,0,0,0,0,1,0,0,2,225.40000000000003
2,1,0,0,0,0,0,2,0,1,1,247.0
3,0,0,0,0,0,0,1,0,0,1,163.275
3,0,1,0,0,0,0,1,0,2,3,635.0999999999999
3,0,0,0,0,0,0,1,0,0,1,164.9382
2,1,0,2,0,0,1,3,1,2,2,667.0
3,1,1,1,0,0,1,2,1,1,0,12.1833
2,0,0,0,0,1,0,1,0,1,2,382.125
3,0,0,0,0,0,0,1,0,0,1,165.8118
1,0,0,0,0,0,0,1,0,0,1,0.0
3,0,0,0,0,0,0,1,0,0,1,158.54999999999998
3,1,0,0,0,0,0,2,0,0,1,169.05
3,0,0,0,0,0,0,1,0,0,0,147.2625
1,0,0,0,1,1,0,1,0,3,3,3461.1182
3,0,0,0,0,2,0,1,0,0,1,162.75
1,1,1,0,1,1,0,3,0,4,2,3556.2592
3,1,1,0,0,2,0,2,0,2,1,325.5
3,0,0,0,0,1,0,1,0,0,1,151.725
2,1,1,0,0,0,0,2,0,2,1,520.0
2,0,0,0,0,0,0,1,0,1,2,294.0
2,0,1,0,0,0,0,1,0,2,3,1040.0
2,0,1,0,0,0,0,1,0,2,2,630.0
2,0,0,0,0,0,0,1,0,1,1,231.0
3,1,0,0,0,0,0,2,0,0,1,199.23749999999998
3,0,1,1,0,0,1,4,1,1,0,10.33125
3,1,0,0,0,2,0,2,0,0,1,162.75
3,1,1,1,0,1,1,2,1,2,0,137.2122
3,1,1,1,0,0,1,2,1,2,0,40.425
3,0,0,0,0,0,0,1,0,0,3,261.0
3,0,0,0,0,0,0,1,0,0,1,152.25
1,0,1,0,1,0,0,1,0,3,1,1974.4008
3,0,0,0,1,1,0,1,0,0,1,151.8132
3,0,0,0,0,0,0,1,0,0,1,169.05
1,0,0,0,0,0,0,1,0,3,1,831.6
3,1,0,0,0,2,0,2,0,0,2,208.5
3,0,0,0,0,1,0,1,0,0,1,151.8132
1,0,1,1,1,0,1,5,1,3,3,4338.4899
3,0,0,0,0,0,0,1,0,0,3,342.0
3,0,0,0,0,0,0,1,0,0,2,205.29080000000002
2,1,1,2,0,1,1,2,1,3,0,41.5792
3,0,2,0,0,1,1,1,1,2,1,455.26320000000004
1,0,0,0,0,0,0,1,0,3,2,1365.0
3,0,0,0,0,0,0,1,0,0,2,227.77179999999998
3,0,0,0,0,0,0,1,0,0,2,248.8
2,0,0,0,1,1,0,1,0,2,1,315.9618
2,0,0,1,0,0,0,1,0,2,3,903.0
3,0,0,0,0,0,0,1,0,0,1,207.89999999999998
3,1,0,0,0,2,0,2,0,0,1,162.75
1,1,1,1,1,0,1,3,1,2,4,1699.2
1,0,1,2,1,0,1,1,1,4,2,4546.5
3,0,0,1,0,0,0,4,0,0,0,7.7604999999999995
1,0,1,1,1,0,1,1,1,3,3,5142.5
3,1,1,0,0,0,0,3,0,1,3,634.8735
3,0,0,0,0,0,0,1,0,0,0,155.92499999999998
3,0,0,0,0,1,0,1,0,0,1,158.95
3,0,0,0,0,0,0,1,0,0,1,159.07500000000002
3,1,0,0,0,2,0,2,0,0,3,286.75
1,1,0,0,1,1,0,3,0,4,3,7459.831499999999
3,1,0,0,0,2,0,2,0,0,0,131.46609999999998
1,0,1,0,1,1,0,1,0,4,3,8351.6856
2,0,0,0,0,0,0,1,0,1,1,199.5
3,0,0,0,0,0,0,1,0,0,2,212.0634
2,0,2,0,0,0,1,1,1,3,1,693.0
3,0,0,0,0,0,0,1,0,0,2,202.15
3,0,0,0,1,1,0,1,0,0,1,180.73
2,0,0,0,1,0,0,1,0,1,2,338.0
1,0,0,0,0,0,0,1,0,2,2,876.15
1,1,0,0,0,0,0,2,0,4,3,8242.1625
3,0,0,0,0,0,0,1,0,0,1,162.15
2,1,2,1,1,0,1,2,1,3,0,468.0
1,0,0,0,0,1,0,1,0,3,3,3643.2000000000003
2,0,1,0,0,0,0,1,0,2,2,754.0
2,0,0,0,0,0,0,1,0,1,1,273.0
2,1,0,2,0,0,1,3,1,3,3,1764.0
1,0,0,0,1,1,0,1,0,2,3,1158.3
3,0,0,0,0,1,0,1,0,0,1,151.725
3,1,1,1,0,1,1,3,1,2,1,299.0923
3,0,0,0,0,0,0,1,0,0,2,213.1866
1,0,0,0,1,0,0,1,0,2,2,780.0
2,0,0,0,0,0,0,1,0,1,2,416.0
3,0,0,2,0,1,1,1,1,0,3,281.93879999999996
2,0,0,0,0,0,0,1,0,3,1,787.5
3,0,0,0,0,1,0,4,0,0,1,151.8132
2,0,0,0,0,0,0,1,0,1,0,189.0
3,0,0,0,0,0,0,1,0,0,2,242.5344
3,0,1,9,0,0,2,1,0,3,1,1460.55
1,1,0,1,1,1,0,3,0,0,3,29715.0936
3,0,1,1,0,0,1,4,1,1,1,304.5
3,1,0,0,0,0,0,2,0,0,0,122.4
2,0,0,0,0,0,0,1,0,1,2,338.0
3,1,0,0,0,1,0,3,0,0,3,274.70959999999997
2,0,0,0,0,0,0,1,0,1,1,324.0
2,1,0,0,0,0,0,2,0,2,2,651.0
1,1,0,1,1,1,0,3,0,3,3,2851.1235
2,0,0,0,0,0,0,1,0,1,1,262.5
2,0,0,0,0,0,0,1,0,3,0,1323.0
2,0,1,2,0,0,1,1,1,3,3,3185.0
3,1,1,2,0,0,1,2,1,2,0,3.49775
1,0,0,0,1,0,0,1,0,2,3,1300.0
1,1,2,0,1,0,1,3,1,3,3,3037.2727999999997
3,0,0,0,0,0,0,1,0,0,1,165.4632
3,0,0,0,0,2,0,1,0,0,1,162.75
3,1,1,0,0,0,0,3,0,2,2,466.5
3,0,8,2,0,0,2,4,0,3,0,1008.4749999999999
2,1,1,1,0,1,1,3,1,3,1,888.1007999999999
2,1,0,0,0,0,0,3,0,2,2,651.0
3,0,0,0,0,0,0,1,0,0,2,233.8875
1,1,1,0,1,1,0,3,0,3,1,1386.0425
3,1,1,9,0,0,2,3,0,3,1,1460.55
3,0,1,0,0,1,0,1,0,1,1,303.6243
3,1,0,0,0,0,0,2,0,3,1,873.125
1,1,0,1,0,1,0,3,0,3,3,2673.0
2,0,0,0,0,1,0,1,0,1,2,401.8907
2,0,1,0,0,0,0,1,0,1,1,241.5
1,1,0,0,1,1,0,2,0,4,2,4169.5
1,0,0,0,1,0,0,1,0,0,3,0.0
2,0,0,0,0,0,0,1,0,1,3,572.0
1,1,1,1,1,0,1,3,1,3,3,4420.3482
1,1,0,0,0,1,0,2,0,4,3,11806.875
3,1,2,0,0,0,1,2,1,0,1,190.575
2,0,0,0,0,0,0,1,0,1,1,241.5
1,0,0,0,1,0,0,1,0,3,3,2750.0
3,0,4,2,0,0,2,4,0,3,0,156.9375
3,0,0,0,0,2,0,1,0,0,1,162.75
3,0,0,0,0,2,0,1,0,0,2,204.8592
3,1,0,0,0,0,0,3,0,1,1,304.5
3,1,1,0,0,0,0,3,0,2,1,305.90000000000003
2,0,0,0,0,0,0,1,0,1,1,270.375
2,1,1,2,0,0,1,2,1,3,1,1560.0
3,0,0,0,0,0,0,1,0,0,1,186.60000000000002
2,0,0,0,0,0,0,1,0,1,3,741.0
3,0,0,0,0,2,0,1,0,0,1,162.75
3,0,3,1,0,0,1,4,1,2,0,126.44999999999999
1,0,0,0,1,0,0,1,0,3,1,2150.5
1,1,0,1,1,0,0,3,0,3,3,2009.3999999999999
3,0,0,2,0,0,1,4,1,2,0,263.25
2,0,0,0,0,0,0,1,0,1,3,493.5
3,0,3,1,0,0,1,1,1,2,2,638.7249999999999
1,1,1,0,1,0,0,3,0,3,0,1080.0
3,0,0,0,0,2,0,1,0,0,1,174.0
1,1,1,1,1,1,1,3,1,3,3,3801.6000000000004
3,0,0,0,0,0,0,1,0,0,1,171.05
3,0,0,0,0,2,0,1,0,0,2,239.7323
1,1,0,0,1,0,0,2,0,4,2,4946.001
2,0,1,0,0,0,0,1,0,2,3,798.0
1,1,0,1,0,1,0,2,0,3,1,1306.8
1,0,0,0,0,0,0,1,0,3,0,800.7
1,0,1,0,1,1,0,1,0,2,3,1191.9944
2,0,0,0,1,1,0,1,0,1,1,277.25
2,0,1,0,0,0,0,1,0,1,1,241.5
1,0,1,1,1,1,1,1,1,4,3,10575.0
3,1,0,0,0,2,0,2,0,0,1,162.1368
3,1,1,1,0,0,1,2,1,1,0,41.325
3,1,0,0,0,2,0,2,0,0,1,162.75
1,1,1,0,1,2,0,3,0,3,3,3330.0
3,1,0,0,0,0,0,2,0,0,2,217.70000000000002
3,0,0,0,0,0,0,1,0,0,1,169.05
1,1,0,0,1,1,0,5,0,3,3,4247.1
3,0,0,0,0,0,0,1,0,0,3,279.125
3,0,0,0,0,0,0,1,0,0,1,169.05
3,0,1,1,0,1,1,4,1,2,1,469.5243
